financial_year,simd_quintile,age_group,total,year,time,appropriate,large,small,total_births,prop_small,prop_appropriate,prop_large,success_small,failure_small
2003/04,4,Under 25,1454,2003,6,1203,111,136,1450,0.09379310344827586,0.829655172413793,0.07655172413793103,136,1314
2003/04,5,25-34,5830,2003,6,4634,856,328,5818,0.056376761773805434,0.7964936404262634,0.14712959779993126,328,5490
2003/04,5,35 and over,2695,2003,6,2072,463,155,2690,0.05762081784386617,0.7702602230483271,0.1721189591078067,155,2535
2003/04,5,Under 25,851,2003,6,654,89,108,851,0.12690951821386603,0.7685076380728555,0.1045828437132785,108,743
2004/05,1,25-34,5502,2004,7,4246,628,610,5484,0.1112326768781911,0.7742523705324581,0.11451495258935084,610,4874
2004/05,1,35 and over,1353,2004,7,1019,191,135,1345,0.10037174721189591,0.7576208178438661,0.14200743494423793,135,1210
2004/05,1,Under 25,5862,2004,7,4687,408,739,5834,0.12667123757284882,0.8033938978402468,0.06993486458690436,739,5095
2004/05,2,25-34,5266,2004,7,4135,658,464,5257,0.0882632680235876,0.7865702872360661,0.12516644474034622,464,4793
2004/05,2,35 and over,1611,2004,7,1185,273,149,1607,0.09271935283136279,0.7373988799004356,0.16988176726820162,149,1458
2004/05,2,Under 25,3431,2004,7,2709,345,368,3422,0.10753945061367622,0.7916423144360023,0.10081823495032145,368,3054
2004/05,3,25-34,5472,2004,7,4344,795,324,5463,0.05930807248764415,0.7951674903898956,0.1455244371224602,324,5139
2004/05,3,35 and over,1954,2004,7,1505,298,151,1954,0.07727737973387923,0.77021494370522,0.15250767656090072,151,1803
2004/05,3,Under 25,2314,2004,7,1873,222,213,2308,0.09228769497400346,0.811525129982669,0.09618717504332755,213,2095
2004/05,4,25-34,5882,2004,7,4582,879,406,5867,0.06920061360149991,0.7809783535026419,0.14982103289585819,406,5461
2004/05,4,35 and over,2395,2004,7,1862,384,144,2390,0.0602510460251046,0.7790794979079498,0.1606694560669456,144,2246
2004/05,4,Under 25,1473,2004,7,1180,158,127,1465,0.08668941979522184,0.8054607508532423,0.10784982935153584,127,1338
2004/05,5,25-34,5869,2004,7,4704,845,310,5859,0.05291005291005291,0.8028673835125448,0.1442225635774023,310,5549
2004/05,5,35 and over,2842,2004,7,2202,474,156,2832,0.05508474576271186,0.777542372881356,0.1673728813559322,156,2676
2004/05,5,Under 25,761,2004,7,626,73,61,760,0.08026315789473684,0.8236842105263158,0.09605263157894736,61,699
2005/06,1,25-34,5729,2005,8,4462,620,625,5707,0.10951463115472228,0.7818468547397932,0.10863851410548449,625,5082
2005/06,1,35 and over,1366,2005,8,1037,141,186,1364,0.13636363636363635,0.7602639296187683,0.10337243401759531,186,1178
2005/06,1,Under 25,5812,2005,8,4574,467,739,5780,0.1278546712802768,0.7913494809688582,0.08079584775086505,739,5041
2005/06,2,25-34,5257,2005,8,4145,624,469,5238,0.08953799159984727,0.7913325696830852,0.11912943871706758,469,4769
2005/06,2,35 and over,1611,2005,8,1234,243,129,1606,0.08032378580323786,0.7683686176836861,0.15130759651307596,129,1477
2005/06,2,Under 25,3387,2005,8,2751,297,325,3373,0.0963533946042099,0.8155944263267121,0.08805217906907797,325,3048
2005/06,3,25-34,5400,2005,8,4240,756,387,5383,0.07189299647036969,0.7876648708898384,0.14044213263979194,387,4996
2005/06,3,35 and over,1954,2005,8,1534,261,158,1953,0.08090117767537122,0.7854582693292371,0.1336405529953917,158,1795
2005/06,3,Under 25,2255,2005,8,1841,201,206,2248,0.09163701067615658,0.818950177935943,0.08941281138790036,206,2042
2005/06,4,25-34,5592,2005,8,4425,794,362,5581,0.0648629277907185,0.7928686615301918,0.14226841067908977,362,5219
2005/06,4,35 and over,2483,2005,8,1865,467,146,2478,0.058918482647296204,0.7526230831315577,0.18845843422114608,146,2332
2005/06,4,Under 25,1436,2005,8,1158,122,148,1428,0.10364145658263306,0.8109243697478992,0.08543417366946779,148,1280
2005/06,5,25-34,5382,2005,8,4385,703,282,5370,0.05251396648044693,0.8165735567970205,0.1309124767225326,282,5088
2005/06,5,35 and over,2702,2005,8,2084,473,139,2696,0.051557863501483676,0.7729970326409495,0.17544510385756676,139,2557
2005/06,5,Under 25,789,2005,8,660,62,65,787,0.08259212198221093,0.8386277001270648,0.07878017789072427,65,722
2006/07,1,25-34,5970,2006,9,4603,716,621,5940,0.10454545454545454,0.7749158249158249,0.12053872053872054,621,5319
2006/07,1,35 and over,1427,2006,9,1095,176,146,1417,0.10303458009880029,0.7727593507410021,0.12420606916019761,146,1271
2006/07,1,Under 25,5837,2006,9,4697,492,627,5816,0.1078060522696011,0.8075997248968363,0.08459422283356259,627,5189
2006/07,2,25-34,5748,2006,9,4482,765,481,5728,0.08397346368715083,0.7824720670391061,0.133554469273743,481,5247
2006/07,2,35 and over,1718,2006,9,1327,244,138,1709,0.0807489760093622,0.7764774722059684,0.14277355178466938,138,1571
2006/07,2,Under 25,3634,2006,9,2879,317,417,3613,0.11541655134237476,0.796844727373374,0.08773872128425131,417,3196
2006/07,3,25-34,5738,2006,9,4559,790,377,5726,0.06584002794271743,0.796192804750262,0.1379671673070206,377,5349
2006/07,3,35 and over,2023,2006,9,1597,305,112,2014,0.05561072492552135,0.7929493545183715,0.15143992055610725,112,1902
2006/07,3,Under 25,2426,2006,9,1978,208,236,2422,0.09744013212221304,0.8166804293971924,0.08587943848059455,236,2186
2006/07,4,25-34,5691,2006,9,4519,843,324,5686,0.056982061202954626,0.7947590573338024,0.14825888146324306,324,5362
2006/07,4,35 and over,2532,2006,9,1974,409,141,2524,0.05586370839936609,0.7820919175911252,0.16204437400950872,141,2383
2006/07,4,Under 25,1499,2006,9,1228,148,120,1496,0.08021390374331551,0.820855614973262,0.09893048128342247,120,1376
2006/07,5,25-34,5465,2006,9,4384,741,322,5447,0.05911510923444098,0.8048467046080411,0.1360381861575179,322,5125
2006/07,5,35 and over,2873,2006,9,2243,480,141,2864,0.049231843575418995,0.7831703910614525,0.16759776536312848,141,2723
2006/07,5,Under 25,805,2006,9,654,92,58,804,0.07213930348258707,0.8134328358208955,0.11442786069651742,58,746
2006/07,5,Unknown,1,2006,9,1,0,0,1,0,1,0,0,1
2007/08,1,25-34,6449,2007,10,5075,768,588,6431,0.09143212564142435,0.7891463225003887,0.11942155185818691,588,5843
2007/08,1,35 and over,1608,2007,10,1215,207,168,1590,0.10566037735849057,0.7641509433962265,0.13018867924528302,168,1422
2007/08,1,Under 25,6273,2007,10,5102,521,627,6250,0.10032,0.81632,0.08336,627,5623
2007/08,2,25-34,5903,2007,10,4665,769,454,5888,0.07710597826086957,0.7922894021739131,0.13060461956521738,454,5434
2007/08,2,35 and over,1833,2007,10,1403,255,170,1828,0.09299781181619256,0.7675054704595186,0.13949671772428884,170,1658
2007/08,2,Under 25,3896,2007,10,3126,331,420,3877,0.10833118390508124,0.8062935259221047,0.08537529017281403,420,3457
2007/08,3,25-34,5789,2007,10,4583,807,380,5770,0.0658578856152513,0.7942807625649914,0.13986135181975737,380,5390
2007/08,3,35 and over,2140,2007,10,1687,315,130,2132,0.06097560975609756,0.7912757973733584,0.1477485928705441,130,2002
2007/08,3,Under 25,2364,2007,10,1915,221,210,2346,0.08951406649616368,0.8162830349531117,0.09420289855072464,210,2136
2007/08,4,25-34,6033,2007,10,4810,860,347,6017,0.05766993518364633,0.799401695196942,0.14292836961941166,347,5670
2007/08,4,35 and over,2698,2007,10,2094,399,195,2688,0.07254464285714286,0.7790178571428571,0.1484375,195,2493
2007/08,4,Under 25,1505,2007,10,1225,144,131,1500,0.08733333333333333,0.8166666666666667,0.096,131,1369
2007/08,5,25-34,5436,2007,10,4384,738,307,5429,0.05654816724995395,0.8075151961687235,0.13593663658132252,307,5122
2007/08,5,35 and over,3048,2007,10,2427,472,138,3037,0.04543957853144551,0.799143891998683,0.15541652946987158,138,2899
2007/08,5,Under 25,897,2007,10,719,99,74,892,0.08295964125560538,0.8060538116591929,0.1109865470852018,74,818
2008/09,1,25-34,6841,2008,11,5300,908,589,6797,0.08665587759305576,0.7797557746064441,0.13358834780050022,589,6208
2008/09,1,35 and over,1521,2008,11,1227,138,154,1519,0.10138248847926268,0.8077682685977617,0.09084924292297564,154,1365
2008/09,1,Under 25,6146,2008,11,4923,509,680,6112,0.11125654450261781,0.8054646596858639,0.08327879581151833,680,5432
2008/09,2,25-34,6058,2008,11,4732,803,489,6024,0.08117529880478087,0.7855245683930943,0.13330013280212483,489,5535
2008/09,2,35 and over,1833,2008,11,1401,284,145,1830,0.07923497267759563,0.7655737704918033,0.1551912568306011,145,1685
2008/09,2,Under 25,3866,2008,11,3141,335,373,3849,0.09690828786697843,0.8160561184723305,0.0870355936606911,373,3476
2008/09,3,25-34,6192,2008,11,4919,818,415,6152,0.06745773732119636,0.7995773732119635,0.13296488946684004,415,5737
2008/09,3,35 and over,2166,2008,11,1664,338,158,2160,0.07314814814814814,0.7703703703703704,0.15648148148148147,158,2002
2008/09,3,Under 25,2627,2008,11,2116,279,224,2619,0.08552882779686903,0.8079419625811378,0.10652920962199312,224,2395
2008/09,4,25-34,5978,2008,11,4790,843,334,5967,0.055974526562761855,0.8027484498072733,0.1412770236299648,334,5633
2008/09,4,35 and over,2579,2008,11,2025,393,156,2574,0.06060606060606061,0.7867132867132867,0.15268065268065267,156,2418
