"FinancialYear","SIMDQuintile","AgeGroup","BirthweightForGestationalAge","Livebirths","Total","year"
"2021/22",1,"25-34","Large",882,6314,2021
"2021/22",1,"25-34","Small",388,6314,2021
"2021/22",1,"25-34","Unknown",8,6314,2021
"2021/22",1,"35 and over","Appropriate",1456,1831,2021
"2021/22",1,"35 and over","Large",260,1831,2021
"2021/22",1,"35 and over","Small",109,1831,2021
"2021/22",1,"35 and over","Unknown",6,1831,2021
"2021/22",1,"Under 25","Appropriate",2246,2701,2021
"2021/22",1,"Under 25","Large",281,2701,2021
"2021/22",1,"Under 25","Small",170,2701,2021
"2021/22",1,"Under 25","Unknown",4,2701,2021
"2021/22",2,"25-34","Appropriate",4806,5969,2021
"2021/22",2,"25-34","Large",870,5969,2021
"2021/22",2,"25-34","Small",282,5969,2021
"2021/22",2,"25-34","Unknown",11,5969,2021
"2021/22",2,"35 and over","Appropriate",1476,1894,2021
"2021/22",2,"35 and over","Large",300,1894,2021
"2021/22",2,"35 and over","Small",106,1894,2021
"2021/22",2,"35 and over","Unknown",12,1894,2021
"2021/22",2,"Under 25","Appropriate",1455,1826,2021
"2021/22",2,"Under 25","Large",245,1826,2021
"2021/22",2,"Under 25","Small",126,1826,2021
"2021/22",3,"25-34","Appropriate",4222,5274,2021
"2021/22",3,"25-34","Large",826,5274,2021
"2021/22",3,"25-34","Small",209,5274,2021
"2021/22",3,"25-34","Unknown",17,5274,2021
"2021/22",3,"35 and over","Appropriate",1608,2050,2021
"2021/22",3,"35 and over","Large",364,2050,2021
"2021/22",3,"35 and over","Small",69,2050,2021
"2021/22",3,"35 and over","Unknown",9,2050,2021
"2021/22",3,"Under 25","Appropriate",845,1052,2021
"2021/22",3,"Under 25","Large",152,1052,2021
"2021/22",3,"Under 25","Small",53,1052,2021
"2021/22",3,"Under 25","Unknown",2,1052,2021
"2021/22",4,"25-34","Appropriate",4773,6026,2021
"2021/22",4,"25-34","Large",996,6026,2021
"2021/22",4,"25-34","Small",250,6026,2021
"2021/22",4,"25-34","Unknown",7,6026,2021
"2021/22",4,"35 and over","Appropriate",2064,2670,2021
"2021/22",4,"35 and over","Large",495,2670,2021
"2021/22",4,"35 and over","Small",104,2670,2021
"2021/22",4,"35 and over","Unknown",7,2670,2021
"2021/22",4,"Under 25","Appropriate",568,714,2021
"2021/22",4,"Under 25","Large",96,714,2021
"2021/22",4,"Under 25","Small",46,714,2021
"2021/22",4,"Under 25","Unknown",4,714,2021
"2021/22",5,"25-34","Appropriate",3866,4861,2021
"2021/22",5,"25-34","Large",792,4861,2021
"2021/22",5,"25-34","Small",197,4861,2021
"2021/22",5,"25-34","Unknown",6,4861,2021
"2021/22",5,"35 and over","Appropriate",2330,2924,2021
"2021/22",5,"35 and over","Large",511,2924,2021
"2021/22",5,"35 and over","Small",79,2924,2021
"2021/22",5,"35 and over","Unknown",4,2924,2021
"2021/22",5,"Under 25","Appropriate",247,316,2021
"2021/22",5,"Under 25","Large",46,316,2021
"2021/22",5,"Under 25","Small",23,316,2021
"2021/22",NA,"25-34","Appropriate",33,40,2021
"2021/22",NA,"25-34","Large",6,40,2021
"2021/22",NA,"25-34","Small",1,40,2021
"2021/22",NA,"35 and over","Appropriate",6,15,2021
"2021/22",NA,"35 and over","Large",8,15,2021
"2021/22",NA,"35 and over","Small",1,15,2021
"2021/22",NA,"Under 25","Appropriate",19,22,2021
"2021/22",NA,"Under 25","Large",3,22,2021
"2022/23",1,"25-34","Appropriate",5103,6241,2022
"2022/23",1,"25-34","Large",756,6241,2022
"2022/23",1,"25-34","Small",365,6241,2022
"2022/23",1,"25-34","Unknown",17,6241,2022
"2022/23",1,"35 and over","Appropriate",1496,1925,2022
"2022/23",1,"35 and over","Large",296,1925,2022
"2022/23",1,"35 and over","Small",132,1925,2022
"2022/23",1,"35 and over","Unknown",1,1925,2022
"2022/23",1,"Under 25","Appropriate",2165,2590,2022
"2022/23",1,"Under 25","Large",226,2590,2022
"2022/23",1,"Under 25","Small",192,2590,2022
"2022/23",1,"Under 25","Unknown",7,2590,2022
"2022/23",2,"25-34","Appropriate",4514,5577,2022
"2022/23",2,"25-34","Large",801,5577,2022
"2022/23",2,"25-34","Small",258,5577,2022
"2022/23",2,"25-34","Unknown",4,5577,2022
"2022/23",2,"35 and over","Appropriate",1361,1735,2022
"2022/23",2,"35 and over","Large",264,1735,2022
"2022/23",2,"35 and over","Small",104,1735,2022
"2022/23",2,"35 and over","Unknown",6,1735,2022
"2022/23",2,"Under 25","Appropriate",1312,1601,2022
"2022/23",2,"Under 25","Large",172,1601,2022
"2022/23",2,"Under 25","Small",111,1601,2022
"2022/23",2,"Under 25","Unknown",6,1601,2022
"2022/23",3,"25-34","Appropriate",4144,5100,2022
"2022/23",3,"25-34","Large",707,5100,2022
"2022/23",3,"25-34","Small",241,5100,2022
"2022/23",3,"25-34","Unknown",8,5100,2022
"2022/23",3,"35 and over","Appropriate",1682,2069,2022
"2022/23",3,"35 and over","Large",314,2069,2022
"2022/23",3,"35 and over","Small",70,2069,2022
"2022/23",3,"35 and over","Unknown",3,2069,2022
"2022/23",3,"Under 25","Appropriate",862,1011,2022
"2022/23",3,"Under 25","Large",99,1011,2022
"2022/23",3,"Under 25","Small",49,1011,2022
"2022/23",3,"Under 25","Unknown",1,1011,2022
"2022/23",4,"25-34","Appropriate",4574,5628,2022
"2022/23",4,"25-34","Large",835,5628,2022
"2022/23",4,"25-34","Small",213,5628,2022
"2022/23",4,"25-34","Unknown",6,5628,2022
"2022/23",4,"35 and over","Appropriate",1962,2512,2022
"2022/23",4,"35 and over","Large",429,2512,2022
"2022/23",4,"35 and over","Small",114,2512,2022
"2022/23",4,"35 and over","Unknown",7,2512,2022
"2022/23",4,"Under 25","Appropriate",578,709,2022
"2022/23",4,"Under 25","Large",74,709,2022
"2022/23",4,"Under 25","Small",57,709,2022
"2022/23",5,"25-34","Appropriate",3467,4252,2022
"2022/23",5,"25-34","Large",625,4252,2022
"2022/23",5,"25-34","Small",147,4252,2022
"2022/23",5,"25-34","Unknown",13,4252,2022
"2022/23",5,"35 and over","Appropriate",2003,2502,2022
"2022/23",5,"35 and over","Large",421,2502,2022
"2022/23",5,"35 and over","Small",76,2502,2022
"2022/23",5,"35 and over","Unknown",2,2502,2022
"2022/23",5,"Under 25","Appropriate",260,328,2022
"2022/23",5,"Under 25","Large",50,328,2022
"2022/23",5,"Under 25","Small",17,328,2022
"2022/23",5,"Under 25","Unknown",1,328,2022
"2022/23",NA,"25-34","Appropriate",58,73,2022
"2022/23",NA,"25-34","Large",12,73,2022
"2022/23",NA,"25-34","Small",3,73,2022
"2022/23",NA,"35 and over","Appropriate",12,12,2022
"2022/23",NA,"Under 25","Appropriate",15,16,2022
"2022/23",NA,"Under 25","Large",1,16,2022
"2023/24",1,"25-34","Appropriate",5060,6205,2023
"2023/24",1,"25-34","Large",753,6205,2023
"2023/24",1,"25-34","Small",379,6205,2023
"2023/24",1,"25-34","Unknown",13,6205,2023
"2023/24",1,"35 and over","Appropriate",1524,1933,2023
"2023/24",1,"35 and over","Large",274,1933,2023
"2023/24",1,"35 and over","Small",134,1933,2023
"2023/24",1,"35 and over","Unknown",1,1933,2023
"2023/24",1,"Under 25","Appropriate",2151,2559,2023
"2023/24",1,"Under 25","Large",247,2559,2023
"2023/24",1,"Under 25","Small",154,2559,2023
"2023/24",1,"Under 25","Unknown",7,2559,2023
"2023/24",2,"25-34","Appropriate",4412,5450,2023
"2023/24",2,"25-34","Large",753,5450,2023
"2023/24",2,"25-34","Small",273,5450,2023
"2023/24",2,"25-34","Unknown",12,5450,2023
"2023/24",2,"35 and over","Appropriate",1483,1850,2023
"2023/24",2,"35 and over","Large",286,1850,2023
"2023/24",2,"35 and over","Small",79,1850,2023
"2023/24",2,"35 and over","Unknown",2,1850,2023
"2023/24",2,"Under 25","Appropriate",1303,1598,2023
"2023/24",2,"Under 25","Large",189,1598,2023
"2023/24",2,"Under 25","Small",104,1598,2023
"2023/24",2,"Under 25","Unknown",2,1598,2023
"2023/24",3,"25-34","Appropriate",4022,5010,2023
"2023/24",3,"25-34","Large",761,5010,2023
"2023/24",3,"25-34","Small",223,5010,2023
"2023/24",3,"25-34","Unknown",4,5010,2023
"2023/24",3,"35 and over","Appropriate",1585,1956,2023
"2023/24",3,"35 and over","Large",296,1956,2023
"2023/24",3,"35 and over","Small",74,1956,2023
"2023/24",3,"35 and over","Unknown",1,1956,2023
"2023/24",3,"Under 25","Appropriate",733,887,2023
"2023/24",3,"Under 25","Large",109,887,2023
"2023/24",3,"Under 25","Small",44,887,2023
"2023/24",3,"Under 25","Unknown",1,887,2023
"2023/24",4,"25-34","Appropriate",4729,5840,2023
"2023/24",4,"25-34","Large",888,5840,2023
"2023/24",4,"25-34","Small",216,5840,2023
"2023/24",4,"25-34","Unknown",7,5840,2023
"2023/24",4,"35 and over","Appropriate",1989,2517,2023
"2023/24",4,"35 and over","Large",431,2517,2023
"2023/24",4,"35 and over","Small",96,2517,2023
"2023/24",4,"35 and over","Unknown",1,2517,2023
"2023/24",4,"Under 25","Appropriate",581,677,2023
"2023/24",4,"Under 25","Large",68,677,2023
"2023/24",4,"Under 25","Small",27,677,2023
"2023/24",4,"Under 25","Unknown",1,677,2023
"2023/24",5,"25-34","Appropriate",3729,4561,2023
"2023/24",5,"25-34","Large",653,4561,2023
"2023/24",5,"25-34","Small",176,4561,2023
"2023/24",5,"25-34","Unknown",3,4561,2023
"2023/24",5,"35 and over","Appropriate",2057,2593,2023
"2023/24",5,"35 and over","Large",471,2593,2023
"2023/24",5,"35 and over","Small",61,2593,2023
"2023/24",5,"35 and over","Unknown",4,2593,2023
"2023/24",5,"Under 25","Appropriate",253,314,2023
"2023/24",5,"Under 25","Large",44,314,2023
"2023/24",5,"Under 25","Small",17,314,2023
"2023/24",NA,"25-34","Appropriate",37,50,2023
"2023/24",NA,"25-34","Large",8,50,2023
"2023/24",NA,"25-34","Small",5,50,2023
"2023/24",NA,"35 and over","Appropriate",18,20,2023
"2023/24",NA,"35 and over","Large",2,20,2023
"2023/24",NA,"Under 25","Appropriate",10,12,2023
"2023/24",NA,"Under 25","Small",2,12,2023
